,ds,yhat_lower,yhat_upper,yhat
257,2021-09-15,7739352.599138299,7740455.774956403,7739905.060498818
258,2021-09-16,7769325.8627854595,7770415.31575559,7769855.263482582
259,2021-09-17,7799288.369368799,7800390.868263425,7799826.3544018045
260,2021-09-18,7829222.377926689,7830341.425393082,7829788.097990481
261,2021-09-19,7859118.75694581,7860306.316450904,7859739.560090973
262,2021-09-20,7889082.469744684,7890234.307453152,7889695.397343528
263,2021-09-21,7919091.219699973,7920208.828523472,7919646.548315673
264,2021-09-22,7949078.156810747,7950264.61380304,7949623.096658878
265,2021-09-23,7978980.292741349,7980097.755048241,7979573.042781685
266,2021-09-24,8008982.859284688,8010121.019264813,8009544.44043824
267,2021-09-25,8038983.062978746,8040065.707826492,8039506.238051879
268,2021-09-26,8068912.603082772,8070055.3035519635,8069457.4794291165
269,2021-09-27,8098878.445229385,8099966.932573729,8099413.213931656
270,2021-09-28,8128831.241690616,8129980.587364126,8129364.138835311
271,2021-09-29,8158735.218588814,8159896.747974164,8159341.132818937
272,2021-09-30,8188734.365470703,8189838.177446527,8189290.822080787
273,2021-10-01,8218693.770616987,8219814.183044719,8219262.526474676
274,2021-10-02,8248640.371213017,8249837.538517661,8249224.378113279
275,2021-10-03,8278602.632314849,8279732.013512392,8279175.39876726
276,2021-10-04,8308554.718958356,8309684.282535712,8309131.030519782
277,2021-10-05,8338515.232656208,8339645.699123963,8339081.72935495
278,2021-10-06,8368455.918660837,8369626.063090476,8369059.168978999
279,2021-10-07,8398475.149544109,8399567.095562994,8399008.601379888
280,2021-10-08,8428423.458506156,8429554.437435506,8428980.612511113
281,2021-10-09,8458404.982782507,8459551.951810734,8459010.580625854
282,2021-10-10,8488432.014680333,8489626.35275586,8489029.442864487
283,2021-10-11,8518491.45503445,8519625.256548371,8519053.034146495
284,2021-10-12,8548488.240049701,8549635.118036257,8549071.568965895
285,2021-10-13,8578548.826444302,8579704.138096731,8579117.517226337
286,2021-10-14,8608567.796146773,8609682.47938412,8609134.754683552
287,2021-10-15,8638618.585339393,8639726.873426484,8639175.135583047
288,2021-10-16,8668645.103231695,8669758.452846337,8669205.157845486
289,2021-10-17,8698662.254975265,8699805.558899008,8699223.798859425
290,2021-10-18,8728664.351414574,8729778.753440084,8729247.287157988
291,2021-10-19,8758739.692932649,8759832.676952582,8759265.595395317
292,2021-10-20,8788778.439306641,8789872.97289034,8789311.990308588
293,2021-10-21,8818714.684472805,8819906.761040393,8819328.970321307
294,2021-10-22,8848792.445120737,8849926.45322475,8849369.658654982
295,2021-10-23,8878850.844391828,8879983.143621467,8879399.735065121
296,2021-10-24,8908834.393054908,8909980.930800552,8909418.154854361
297,2021-10-25,8938895.611000607,8940045.09881438,8939441.540169485
298,2021-10-26,8968895.731567405,8970052.057495097,8969459.62182474
299,2021-10-27,8998980.780046744,9000071.129311178,8999506.463390836
300,2021-10-28,9028949.493088344,9030049.88628271,9029523.185959063
301,2021-10-29,9058990.979567282,9060122.52703508,9059564.18172692
302,2021-10-30,9089035.504867762,9090169.320107644,9089594.312284753
303,2021-10-31,9119068.787849866,9120176.023367701,9119612.5108493
304,2021-11-01,9149137.062079163,9150247.62565252,9149682.30903428
305,2021-11-02,9179181.481739912,9180290.056430351,9179746.679860482
306,2021-11-03,9209255.897816554,9210370.109124431,9209840.484179094
307,2021-11-04,9239342.96889948,9240472.328450708,9239903.464976938
308,2021-11-05,9269434.975545572,9270536.404058537,9269991.284364179
309,2021-11-06,9299517.139328666,9300646.423367392,9300067.985054672
310,2021-11-07,9329563.53796521,9330708.564264845,9330132.477976874
311,2021-11-08,9359647.185104676,9360753.412781373,9360202.173018878
312,2021-11-09,9389705.563793054,9390834.673421254,9390266.31691201
313,2021-11-10,9419826.853153173,9420932.411706049,9420360.568575358
314,2021-11-11,9449852.87769884,9450994.500326049,9450423.291529903
315,2021-11-12,9479917.433026029,9481051.52823493,9480511.418827567
316,2021-11-13,9509942.784426518,9511172.594552385,9510588.173749635
317,2021-11-14,9540125.45787238,9541244.183699008,9540652.445104443
318,2021-11-15,9570148.67612678,9571284.574953277,9570722.037003474
319,2021-11-16,9600180.374979997,9601327.165554069,9600785.953963539
320,2021-11-17,9630318.712730797,9631456.046411816,9630880.652971622
321,2021-11-18,9660407.233909765,9661581.411373947,9660943.118082866
322,2021-11-19,9690483.402601166,9691590.21531516,9691031.553290954
323,2021-11-20,9720506.437364062,9721667.513493614,9721108.362444598
324,2021-11-21,9750603.292283572,9751701.234032964,9751172.412232013
325,2021-11-22,9780697.309511248,9781791.101518048,9781241.900988072
326,2021-11-23,9810783.737700574,9811860.193765804,9811305.591015065
327,2021-11-24,9840709.565980991,9841839.18792534,9841279.477916451
328,2021-11-25,9870658.396469263,9871788.253001109,9871220.426029993
329,2021-11-26,9900683.855899138,9901777.228424227,9901187.90931352
330,2021-11-27,9930550.582071172,9931682.940558108,9931143.51309352
331,2021-11-28,9960517.005900249,9961634.485378247,9961086.082440142
332,2021-11-29,9990495.287448047,9991571.00889979,9991034.2090258
333,2021-11-30,10020407.882061174,10021562.08038862,10020976.413710242
334,2021-12-01,10050375.175161283,10051508.57809141,10050950.74615267
335,2021-12-02,10080343.014881345,10081451.085646061,10080891.437462537
336,2021-12-03,10110261.700950796,10111435.864741376,10110859.227414994
337,2021-12-04,10140257.532891996,10141348.753562443,10140814.88520791
338,2021-12-05,10170229.851333726,10171331.16390167,10170757.233880496
339,2021-12-06,10200158.588638203,10201298.25939112,10200705.257739052
340,2021-12-07,10230042.380701805,10231185.900510095,10230647.23640542
341,2021-12-08,10260074.773932287,10261143.412471818,10260622.014388893
342,2021-12-09,10290001.276346123,10291148.415765306,10290562.448895078
343,2021-12-10,10319943.157097029,10321120.248993587,10320530.545516467
344,2021-12-11,10349912.581087094,10351009.808549775,10350486.257322298
345,2021-12-12,10379835.392670255,10381036.932292078,10380428.385320852
346,2021-12-13,10409784.472180156,10410930.981361832,10410376.306452306
347,2021-12-14,10439803.550590059,10440879.07379567,10440318.059100596
348,2021-12-15,10469723.019796928,10470872.829865918,10470293.282625109
349,2021-12-16,10499696.489803547,10500774.066350529,10500233.460327623
350,2021-12-17,10529618.370449632,10530771.849555928,10530201.863617942
351,2021-12-18,10559704.389590645,10560796.120986726,10560247.62290519
352,2021-12-19,10589683.987262985,10590827.146689247,10590279.523508776
353,2021-12-20,10619752.26087576,10620917.177875282,10620317.335154638
354,2021-12-21,10649817.731473109,10650919.319189077,10650348.854726506
355,2021-12-22,10679820.800649447,10680967.283419779,10680414.517980905
356,2021-12-23,10709860.146668172,10710990.931216959,10710444.431642313
357,2021-12-24,10739933.805294244,10741062.70649393,10740503.135836635
358,2021-12-25,10769982.345326217,10771113.919740604,10770548.949299078
359,2021-12-26,10800016.894021641,10801130.293131141,10800580.628565619
360,2021-12-27,10830063.723488951,10831164.735483078,10830618.337175736
361,2021-12-28,10860091.188294617,10861203.561268374,10860649.630050462
362,2021-12-29,10890137.188902142,10891210.771512331,10890715.740184525
